Student_ID,Branch,Grade,Study_Hours,IQ,Age,Weight,Parents_Income
Student_0001,History,F,54,132,19,68,50043
Student_0002,History,D,24,139,24,52,38024
Student_0003,Engineering,C,35,158,25,86,33798
Student_0004,Mathematics,F,35,104,20,85,118113
Student_0005,Biology,C,57,154,24,82,54247
Student_0006,Biology,A,32,91,25,50,81447
Student_0007,Biology,B,20,131,24,71,105561
Student_0008,Engineering,B,22,154,24,63,66723
Student_0009,Biology,A,55,121,22,52,112086
Student_0010,Engineering,C,20,133,21,56,132913
Student_0011,Engineering,D,16,143,19,92,119088
Student_0012,History,D,42,106,21,57,73956
Student_0013,Biology,B,47,153,20,67,91091
Student_0014,Literature,D,27,147,24,56,65342
Student_0015,Literature,D,45,144,19,92,139862
Student_0016,History,F,36,144,20,93,67209
Student_0017,Literature,C,8,140,21,95,58568
Student_0018,History,B,58,92,20,96,77219
Student_0019,Biology,F,16,121,24,51,31859
Student_0020,Literature,E,18,98,25,91,129419
Student_0021,Mathematics,F,5,134,23,79,72546
Student_0022,History,A,2,150,22,62,57921
Student_0023,Engineering,B,60,80,20,91,53213
Student_0024,Biology,B,45,154,22,77,25625
Student_0025,Mathematics,E,52,116,19,72,114003
Student_0026,Mathematics,D,50,111,24,93,86939
Student_0027,Biology,A,48,139,21,50,111779
Student_0028,Biology,D,35,130,23,90,58291
Student_0029,Engineering,D,14,138,20,63,142612
Student_0030,History,B,23,81,22,95,71789
Student_0031,History,A,16,155,24,83,149443
Student_0032,History,A,10,156,20,58,88340
Student_0033,Mathematics,F,31,158,18,50,88797
Student_0034,Mathematics,B,60,80,21,80,58097
Student_0035,Biology,A,19,117,19,87,49395
Student_0036,Biology,F,43,138,21,84,91322
Student_0037,Engineering,C,53,96,20,84,85371
Student_0038,Mathematics,A,57,100,25,79,35344
Student_0039,Biology,F,16,116,20,83,32662
Student_0040,Mathematics,F,1,148,22,92,142804
Student_0041,Literature,C,34,99,21,94,84121
Student_0042,Biology,A,28,144,18,100,79300
Student_0043,Literature,A,7,160,25,74,98850
Student_0044,History,B,16,112,25,96,62870
Student_0045,Biology,A,6,113,25,99,77910
Student_0046,Engineering,F,31,93,23,54,129836
Student_0047,Literature,A,0,131,20,64,106806
Student_0048,Mathematics,F,29,96,19,89,73298
Student_0049,Literature,C,7,80,22,92,119518
Student_0050,Engineering,B,29,138,18,54,85207
Student_0051,History,D,58,80,25,71,102141
Student_0052,Literature,B,36,94,18,52,145068
Student_0053,Engineering,C,20,97,24,63,71151
Student_0054,Biology,F,11,101,25,62,51740
Student_0055,History,D,5,134,23,88,133431
Student_0056,Literature,A,5,157,23,57,104560
Student_0057,Literature,F,50,120,24,68,59657
Student_0058,History,D,42,158,25,77,130434
Student_0059,Engineering,B,42,142,24,76,59510
Student_0060,Engineering,D,45,114,18,84,128959
Student_0061,Literature,C,21,98,23,93,33487
Student_0062,History,A,42,122,18,57,23071
Student_0063,Mathematics,D,42,138,18,91,94344
Student_0064,Literature,C,11,119,24,78,88427
Student_0065,Literature,F,49,108,19,61,136864
Student_0066,Literature,C,27,115,25,71,59526
Student_0067,Engineering,D,12,109,18,59,109808
Student_0068,Engineering,A,9,148,22,50,112523
Student_0069,Mathematics,C,27,126,20,52,101154
Student_0070,Biology,B,50,151,23,82,148099
Student_0071,History,D,13,144,23,65,80711
Student_0072,Biology,A,43,123,25,96,38202
Student_0073,History,F,42,110,24,70,41506
Student_0074,History,A,31,93,21,89,91969
Student_0075,Mathematics,B,10,144,18,97,98729
Student_0076,Mathematics,A,46,80,20,92,133156
Student_0077,Literature,F,8,82,21,75,71658
Student_0078,Biology,B,11,118,18,60,87262
Student_0079,Biology,B,25,92,19,78,131178
Student_0080,History,A,44,116,19,90,38343
Student_0081,Biology,A,57,104,22,67,41141
Student_0082,History,C,40,95,21,91,71149
Student_0083,Engineering,B,8,113,20,53,138886
Student_0084,History,C,41,89,21,71,129232
Student_0085,Biology,F,43,125,21,73,58880
Student_0086,Biology,C,27,157,18,68,83102
Student_0087,Engineering,D,44,139,25,69,70247
Student_0088,Engineering,D,9,127,24,96,136054
Student_0089,Biology,B,24,103,21,95,49267
Student_0090,History,D,38,115,19,72,61210
Student_0091,Mathematics,B,24,81,19,93,141742
Student_0092,Biology,F,53,102,21,50,134998
Student_0093,Mathematics,D,3,131,18,58,123835
Student_0094,Mathematics,E,11,109,22,50,30594
Student_0095,Literature,A,49,136,19,94,132713
